Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2020-06-26,415.0,416.5,395.0,395.3,-4.19,534525.0,13713.0,216078.02
2020-06-25,408.0,412.6,405.0,412.6,1.23,226136.0,5816.0,92565.1
2020-06-24,410.0,412.9,405.0,407.6,0.89,192029.0,5379.0,78432.61
2020-06-23,407.3,412.0,400.2,404.0,-0.76,240157.0,6289.0,97591.17
2020-06-22,390.0,409.0,388.0,407.1,3.67,458160.0,9767.0,184109.04
2020-06-19,373.4,393.9,373.3,392.7,1.39,861534.0,14557.0,332123.41
2020-06-18,387.4,396.5,386.2,387.3,-0.03,185354.0,4726.0,72391.62
2020-06-17,383.8,391.4,377.5,387.4,2.14,271985.0,6691.0,105339.67
2020-06-16,377.8,385.5,375.4,379.3,1.66,153016.0,4934.0,58053.98
2020-06-15,375.0,381.8,373.0,373.1,-1.63,299781.0,7456.0,112865.44
2020-06-12,378.1,388.7,371.9,379.3,-3.54,332987.0,6590.0,127116.59
2020-06-10,388.5,393.2,381.0,393.2,1.89,279795.0,7324.0,108621.38
2020-06-09,372.0,385.9,352.2,385.9,4.07,389151.0,9884.0,145553.34
2020-06-08,386.1,388.5,370.8,370.8,-5.07,464852.0,12504.0,174302.59
2020-06-05,394.5,396.0,388.5,390.6,-0.51,382035.0,7898.0,149527.37
2020-06-04,386.6,394.3,386.0,392.6,1.16,290667.0,6254.0,113256.7
2020-06-03,390.0,398.0,386.0,388.1,-0.03,273641.0,7702.0,107453.7
2020-06-02,396.0,397.4,385.5,388.2,-2.19,483494.0,9987.0,188157.26
2020-06-01,405.0,407.7,394.7,396.9,-1.71,211412.0,5879.0,84287.94
2020-05-29,411.0,412.9,393.1,403.8,1.2,844539.0,14287.0,340286.7
2020-05-28,389.1,399.7,385.3,399.0,4.59,375602.0,10016.0,147314.36
2020-05-27,413.0,413.5,381.0,381.5,-7.63,708638.0,18094.0,279250.67
2020-05-26,400.0,417.7,398.0,413.0,3.9,431807.0,8514.0,176356.49
2020-05-25,395.4,403.1,395.4,397.5,1.04,114837.0,3235.0,45831.36
2020-05-22,390.0,396.9,388.8,393.4,0.2,224817.0,4488.0,88361.18
2020-05-21,394.8,400.2,391.4,392.6,-0.61,323010.0,6488.0,127765.79
2020-05-20,381.8,397.4,380.2,395.0,4.03,326271.0,7152.0,127830.07
2020-05-19,388.1,389.0,377.7,379.7,-1.43,247629.0,5779.0,94275.73
2020-05-18,375.4,385.2,371.0,385.2,3.8,244895.0,5444.0,93021.87
2020-05-15,370.1,374.6,366.3,371.1,0.3,240329.0,3409.0,88902.79
2020-05-14,377.1,378.6,364.2,370.0,-2.5,341333.0,6848.0,126877.59
2020-05-13,371.0,379.6,370.4,379.5,1.8,275912.0,5141.0,103965.06
2020-05-12,360.8,375.9,360.5,372.8,2.7,422044.0,8412.0,156320.25
2020-05-11,358.0,363.6,354.1,363.0,2.28,237309.0,5289.0,85437.34
2020-05-08,359.2,359.7,352.5,354.9,-0.2,192114.0,3765.0,68252.88
2020-05-07,360.0,363.2,354.1,355.6,-1.22,197347.0,4260.0,70580.47
2020-05-06,361.5,363.6,356.3,360.0,0.7,432837.0,4699.0,155872.47
2020-05-05,360.3,361.0,351.2,357.5,-0.11,205543.0,5183.0,73240.87
2020-05-04,351.0,365.0,348.6,357.9,0.08,245954.0,5828.0,88166.42
2020-04-30,362.7,367.5,351.4,357.6,-1.0,326043.0,6440.0,116483.18
2020-04-29,359.1,365.1,353.4,361.2,0.58,256529.0,5617.0,92309.84
2020-04-28,368.3,372.4,358.3,359.1,-2.42,328814.0,7253.0,119757.74
2020-04-27,367.5,374.0,366.1,368.0,1.27,327997.0,7615.0,121310.78
2020-04-24,351.6,373.4,344.0,363.4,2.45,446099.0,10064.0,162262.06
2020-04-23,343.0,354.7,342.0,354.7,2.22,303812.0,5957.0,106102.16
2020-04-22,336.0,347.0,334.0,347.0,3.27,259665.0,6017.0,89171.52
2020-04-21,342.6,344.2,336.0,336.0,-2.67,187420.0,4313.0,63527.37
2020-04-20,339.0,346.0,335.0,345.2,1.68,224055.0,4832.0,76240.34
2020-04-17,338.3,344.2,337.0,339.5,1.59,233059.0,4846.0,79245.36
2020-04-16,342.8,344.6,332.7,334.2,-2.34,416488.0,6660.0,140705.15
2020-04-15,343.7,344.9,338.3,342.2,0.06,571736.0,7257.0,195267.73
2020-04-14,331.0,342.8,324.6,342.0,3.95,414126.0,8208.0,139486.13
2020-04-09,331.0,333.9,319.7,329.0,6.51,688443.0,11574.0,225576.49
2020-04-08,295.0,311.8,293.0,308.9,2.05,303777.0,6790.0,92368.59
2020-04-07,329.0,331.6,302.7,302.7,-4.87,566762.0,11032.0,178857.76
2020-04-06,305.0,318.7,304.3,318.2,7.14,399014.0,7313.0,124335.2
2020-04-03,289.0,297.8,285.1,297.0,3.2,414091.0,8838.0,121193.07
2020-04-02,282.1,287.8,276.5,287.8,2.02,289435.0,7540.0,81681.31
2020-04-01,283.5,287.9,279.0,282.1,-2.42,268501.0,5296.0,76061.84
2020-03-31,283.0,289.9,281.2,289.1,2.92,355097.0,5972.0,102161.12
2020-03-30,280.0,280.9,273.2,280.9,0.68,279021.0,5465.0,77690.95
2020-03-27,282.5,283.8,274.6,279.0,-0.75,284034.0,5261.0,79405.68
2020-03-26,275.9,281.8,273.5,281.1,1.26,294820.0,5953.0,82213.84
2020-03-25,284.0,287.7,272.0,277.6,0.36,382919.0,7863.0,107086.47
2020-03-24,277.1,280.6,268.3,276.6,4.3,433759.0,7595.0,118741.15
2020-03-23,257.1,272.0,250.0,265.2,-0.49,439015.0,8625.0,115835.27
2020-03-19,258.3,273.5,256.5,273.5,5.88,511952.0,7999.0,136164.56
2020-03-18,269.5,281.2,255.3,258.3,-3.83,715112.0,12753.0,189216.12
2020-03-17,262.0,272.8,255.2,268.6,6.59,861016.0,13701.0,229684.44
2020-03-16,235.9,272.0,222.0,252.0,3.32,982178.0,16007.0,234585.14
2020-03-13,230.0,253.0,223.8,243.9,12.86,1236428.0,21144.0,297579.25
2020-03-11,271.0,271.7,242.0,251.0,-7.14,797219.0,14848.0,204425.28
2020-03-10,275.0,280.0,268.0,270.3,0.11,454369.0,8257.0,124560.96
2020-03-09,266.0,284.0,259.5,270.0,-7.91,706198.0,12034.0,191209.14
2020-03-06,294.6,294.9,283.0,293.2,-1.48,363928.0,7705.0,104889.61
2020-03-05,303.0,305.5,294.2,297.6,0.68,303548.0,6230.0,90578.6
2020-03-04,300.3,304.4,292.5,295.6,-3.34,412457.0,7571.0,123095.43
2020-03-03,295.0,306.9,290.2,305.8,7.52,745525.0,13638.0,223743.85
2020-03-02,287.9,298.0,272.0,284.4,2.12,677207.0,13589.0,191864.02
2020-02-28,276.0,286.0,261.6,278.5,-4.79,1106623.0,16331.0,306061.2
2020-02-27,308.0,311.0,290.7,292.5,-4.97,458097.0,8198.0,137625.6
2020-02-26,301.6,316.6,297.0,307.8,0.16,527802.0,9163.0,161049.78
2020-02-25,316.2,321.7,305.3,307.3,-4.03,615225.0,10820.0,191579.1
2020-02-24,327.6,330.0,319.0,320.2,-3.26,400033.0,7428.0,129247.6
2020-02-21,328.0,334.0,326.6,331.0,0.76,202845.0,3246.0,67153.69
2020-02-20,330.6,331.9,326.6,328.5,-0.7,197254.0,3359.0,64904.75
2020-02-19,330.0,331.9,325.7,330.8,0.55,306093.0,3687.0,100810.15
2020-02-18,325.4,330.8,323.0,329.0,0.92,114450.0,2579.0,37472.67
2020-02-17,327.6,336.0,323.6,326.0,0.0,171203.0,3445.0,56238.02
2020-02-14,319.3,326.8,317.5,326.0,2.29,397178.0,6188.0,128444.68
2020-02-13,313.1,318.7,312.2,318.7,1.76,253247.0,3498.0,80242.78
2020-02-12,311.0,315.8,308.4,313.2,0.87,234320.0,7531.0,73258.32
2020-02-11,313.0,317.0,310.5,310.5,-0.06,216763.0,3455.0,67834.64
2020-02-10,310.9,313.4,310.0,310.7,0.62,122257.0,2282.0,38028.37
2020-02-07,313.3,316.8,307.4,308.8,-1.56,234342.0,3567.0,72857.29
2020-02-06,309.5,314.5,305.7,313.7,1.85,331441.0,6696.0,103049.81
2020-02-05,303.0,320.6,302.3,308.0,0.98,787824.0,10905.0,246487.22
2020-02-04,293.5,305.0,290.3,305.0,3.92,665747.0,10209.0,200232.26
2020-02-03,280.6,293.5,279.5,293.5,4.23,590142.0,7276.0,170092.53
2020-01-31,278.0,281.6,274.5,281.6,1.33,555265.0,5004.0,155040.32
2020-01-30,277.0,278.4,274.0,277.9,0.22,335483.0,3922.0,92761.93
2020-01-29,277.0,277.9,274.2,277.3,0.36,399482.0,4451.0,110009.59
2020-01-28,271.5,276.3,271.5,276.3,1.96,245633.0,3230.0,67513.66
2020-01-27,277.1,279.3,268.3,271.0,-1.81,262715.0,4753.0,71639.81
2020-01-24,273.0,277.5,271.2,276.0,0.73,329149.0,4471.0,90522.58
2020-01-23,274.0,278.5,272.8,274.0,-0.58,455065.0,6379.0,125226.28
2020-01-22,281.9,284.0,274.4,275.6,-1.15,497118.0,7074.0,138449.45
2020-01-21,281.7,285.7,273.6,278.8,-0.96,442059.0,8150.0,124167.88
2020-01-20,268.7,282.6,267.1,281.5,5.63,763165.0,13084.0,211973.7
2020-01-17,253.8,268.0,243.0,266.5,-5.6,2794383.0,32046.0,711801.13
2020-01-16,282.5,286.0,279.2,282.3,-0.32,248310.0,4050.0,70101.97
2020-01-15,289.4,289.6,282.7,283.2,-1.84,262715.0,4479.0,74962.27
2020-01-14,290.5,291.8,286.2,288.5,-0.72,269718.0,4047.0,77959.34
2020-01-13,287.8,290.6,284.2,290.6,1.96,209116.0,3393.0,60277.08
2020-01-10,289.5,292.7,284.5,285.0,-1.25,264610.0,4238.0,75950.03
2020-01-09,284.0,288.6,283.0,288.6,2.67,194898.0,3219.0,55867.13
2020-01-08,283.5,283.8,277.3,281.1,-0.95,224466.0,4184.0,62980.8
2020-01-07,287.1,288.4,282.9,283.8,-0.77,212866.0,3545.0,60527.39
2020-01-03,287.0,289.8,281.1,286.0,-0.28,243976.0,4325.0,69371.23
2020-01-02,282.0,286.8,281.0,286.8,2.61,167487.0,3651.0,47695.49
2019-12-30,277.2,282.7,277.1,279.5,0.65,160022.0,2473.0,44867.45
2019-12-27,281.0,285.0,277.2,277.7,-0.82,204130.0,4000.0,57372.26
2019-12-23,272.0,280.0,270.2,280.0,3.67,283552.0,4526.0,78549.67
2019-12-20,270.0,271.1,267.8,270.1,0.52,310732.0,4353.0,83774.35
2019-12-19,268.5,272.0,266.2,268.7,0.22,322475.0,3332.0,86806.64
2019-12-18,264.6,268.7,260.8,268.1,2.09,271418.0,3816.0,72146.29
2019-12-17,257.7,264.0,253.8,262.6,2.42,227121.0,3248.0,58898.61
2019-12-16,255.0,257.8,252.5,256.4,0.75,130521.0,1681.0,33275.87
2019-12-13,258.7,260.7,253.0,254.5,-1.36,185869.0,2855.0,47746.45
2019-12-12,255.4,258.8,252.4,258.0,1.98,217125.0,3152.0,55641.73
